,name,category,colors,price,link
86,NikePremier 3,Firm-Ground Football Boot,1 Colour,$145,https://www.nike.com/ca/t/nikepremier-3-football-boot-gDXp4C/AT5889-007
87,Nike Mercurial Superfly 9 Club,Indoor Court Football Shoes,1 Colour,$95,https://www.nike.com/ca/t/mercurial-superfly-9-club-indoor-court-football-shoes-tVFNP2/DJ5962-040
88,Nike Mercurial Superfly 9 Elite,Soft-Ground Football Boot,1 Colour,$375,https://www.nike.com/ca/t/mercurial-superfly-9-elite-football-boot-D6qDRk/DJ5166-040
89,Nike Tiempo Legend 10 Club,Multi-Ground Football Boot,1 Colour,$75,https://www.nike.com/ca/t/tiempo-legend-10-club-multi-ground-football-boot-0CcgMc/DV4344-040
90,Nike Phantom GX Pro,Firm-Ground Football Boot,2 Colours,$190,https://www.nike.com/ca/t/phantom-gx-pro-football-boot-sQqrxM/DD9463-705
91,Nike Tiempo Legend 10 Academy,Turf Football Shoes,1 Colour,$105,https://www.nike.com/ca/t/tiempo-legend-10-academy-football-shoes-Pz0x3b/DV4342-040
92,Nike Mercurial Vapor 15 Elite,Soft-Ground Football Boot,1 Colour,$365,https://www.nike.com/ca/t/mercurial-vapor-15-elite-football-boot-lJSRSB/DJ5168-040
93,Nike Mercurial Superfly 9 Academy,Artificial-grass football boot,1 Colour,$125,https://www.nike.com/ca/t/mercurial-superfly-9-academy-football-boot-mNj7L6/DJ5622-040
94,Nike Jr. Mercurial Vapor 15 Academy,Artificial-Grass Football Boots,1 Colour,$115,https://www.nike.com/ca/t/jr-mercurial-vapor-15-academy-football-boot-W5q7w4/DJ5630-040
95,Nike Phantom GX Pro,Firm-Ground Football Boot,1 Colour,$210,https://www.nike.com/ca/t/phantom-gx-pro-football-boot-ZZVDc8/DD9465-040
96,Nike Mercurial Vapor 15 Pro,Turf Football Shoes,1 Colour,$160,https://www.nike.com/ca/t/mercurial-vapor-15-pro-football-shoes-MPC5Vm/DJ5605-040
97,Nike Mercurial Superfly 9 Academy,Turf Football Shoes,1 Colour,$125,https://www.nike.com/ca/t/mercurial-superfly-9-academy-football-shoes-Hgm081/DJ5629-040
98,Nike Mercurial Superfly 9 Academy,Multi-Ground Football Boot,2 Colours,$125,https://www.nike.com/ca/t/mercurial-superfly-9-academy-multi-ground-football-boot-RTlCdM/DJ5625-605
99,Nike Tiempo Legend 10 Pro,Firm-Ground Football Boot,1 Colour,$180,https://www.nike.com/ca/t/tiempo-legend-10-pro-football-boot-GkPWJC/DV4333-040
100,Nike Mercurial Vapor 15 Pro,Artificial-Grass Football Boots,1 Colour,$180,https://www.nike.com/ca/t/mercurial-vapor-15-pro-football-boot-4R8klC/DJ5604-040
101,Nike Tiempo Legend 9 Elite FG,Firm-Ground Football Boot,2 Colours,$295,https://www.nike.com/ca/t/tiempo-legend-9-elite-fg-football-boots-td9BLW/CZ8482-146
102,Nike Mercurial Vapor 15 Academy,Indoor Court Football Shoes,1 Colour,$115,https://www.nike.com/ca/t/mercurial-vapor-15-academy-indoor-court-football-shoes-bDQfjz/DJ5633-040
103,Nike Phantom GX Academy,Indoor Court Football Shoes,1 Colour,$115,https://www.nike.com/ca/t/phantom-gx-academy-indoor-court-football-shoes-Twc9Rc/DD9475-446
104,Nike Mercurial Vapor 15 Club,Multi-Ground Football Boot,1 Colour,$80,https://www.nike.com/ca/t/mercurial-vapor-15-club-multi-ground-football-boot-FpcB3d/DJ5963-040
105,Nike Jr. Mercurial Superfly 9 Academy,Younger/Older Kids' Turf Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/jr-mercurial-superfly-9-academy-younger-older-football-shoes-8CKbvz/DJ5616-605
106,Nike Tiempo Legend 10 Academy,Soft-Ground Football Boot,1 Colour,$115,https://www.nike.com/ca/t/tiempo-legend-10-academy-football-boot-z1gqjW/DV4338-040
107,Nike Tiempo Legend 10 Academy,Indoor Court Football Shoes,1 Colour,$105,https://www.nike.com/ca/t/tiempo-legend-10-academy-indoor-court-football-shoes-DVvvV6/DV4341-040
108,Nike Tiempo Legend 10 Elite,Soft-Ground Football Boot,1 Colour,$310,https://www.nike.com/ca/t/tiempo-legend-10-elite-football-boot-LCgGVk/DV4329-040
109,Nike Tiempo Legend 10 Club,Indoor Court Football Shoes,1 Colour,$75,https://www.nike.com/ca/t/tiempo-legend-10-club-indoor-court-football-shoes-NQtdl7/DV4343-040
110,Nike Jr. Phantom GX Academy,Older Kids' Indoor/Court Football Shoes,1 Colour,$70,https://www.nike.com/ca/t/jr-phantom-gx-academy-older-indoor-court-football-shoes-NQhwXn/DD9555-446
111,Nike Jr. Streetgato,Younger/Older Kids' Football Shoes,1 Colour,$70,https://www.nike.com/ca/t/jr-streetgato-younger-older-football-shoes-fTCqBH/DH7723-444
